,Tweets,Sbjectivity_Scale,Polarity_Scale,Sentiment_Tags
0,hepburn say,0.0,0.0,Neutral
1,plus i ve add commercial experience tacky,0.0,0.0,Neutral
2,today must mean need take another trip,0.6875,-0.3125,Negative
3,really aggressive blast obnoxious entertainment guest face amp little recourse,0.35,0.0062500000000000056,Positive
4,really big bad thing,0.3833333333333333,-0.3499999999999999,Negative
5,seriously would pay 30 flight seat play really bad thing fly va,0.7444444444444445,-0.07777777777777772,Negative
6,yes nearly every time fly ex hear worm go away,0.65,0.45,Positive
7,really missed prime opportunity men without hat parody hat t co mwpg7grezp,0.2,0.2,Positive
8,well didn t_but ad,0.0,0.0,Neutral
9,amaze arrive hour early good,0.45000000000000007,0.39999999999999997,Positive
10,know suicide second lead cause death among teen 10 24,0.0,0.0,Neutral
11,3 pretty graphic much better minimal iconography,0.625,0.1625,Positive
12,great deal already think trip australia amp even go est trip yet,0.75,0.8,Positive
13,virginmedia fly fabulous seductive sky u take stress away travel help t co ahlxhhkiyn,0.95,0.6000000000000001,Positive
14,thanks,0.2,0.2,Positive
15,sfo pdx schedule still mia,0.0,0.0,Neutral
16,excite first cross country flight lax mo i ve heard nothing great thing virgin america 29daystogo,0.3611111111111111,0.35000000000000003,Positive
17,flew ny last week could fully sit seat due two large gentleman either side help,0.2900793650793651,0.029761904761904757,Positive
18,___ fly virginamerica _____,0.9,0.8,Positive
19,know would amazingly awesome bos ll please want fly,0.95,0.9,Positive
20,first fare may three time carrier seat available select,0.3666666666666667,0.325,Positive
21,love graphic help t co ut5grrwaaa,0.5,0.25,Positive
22,love hipster innovation feel good brand,0.6000000000000001,0.6,Positive
23,make bos la non stop permanently anytime soon,0.0,0.0,Neutral
24,guy mess seat reserve seating friend guy give seat away want free internet,0.48750000000000004,0.11250000000000002,Positive
25,status match program apply three week call email response,0.0,0.0,Neutral
26,happen 2 ur vegan food option least say ur site know wo able 2 eat anything next 6 fail,0.33124999999999993,-0.075,Negative
27,miss worry together soon,0.0,0.0,Neutral
28,amaze ca get cold air vent vx358 noir worstflightever roast sfotobos,1.0,-0.6,Negative
29,lax ear middle seat red eye noob maneuver sendambien andchexmix,0.0,0.0,Neutral
30,hi bed cool birthday trip ca add elevate cause enter middle name flight booking problem,0.325,0.175,Positive
31,hour operation club post online current,0.4,0.0,Neutral
32,help leave expensive headphone flight 89 iad lax today seat one answer amp number lax,0.7,-0.5,Negative
33,await return phone call would prefer use online self service option,0.0,0.0,Neutral
34,great news america could start flight hawaii end year help t co r8p2zy3fe4 via pacificbiznews,0.75,0.8,Positive
35,virginamerica vibe moonlight takeoff touchdown moodlitmonday sciencebehindtheexperience help t co y7o0unxtqp,0.0,0.0,Neutral
36,moonlight way fly best experience ever cool calm ___ moodlitmonday,0.65,0.6125,Positive
37,freddieawards do do best airline around hand,0.3,1.0,Positive
38,book flight hawaii,0.0,0.0,Neutral
39,chat support work site help t co vhp2gtdwpk,0.0,0.0,Neutral
40,view downtown los angeles hollywood sign beyond rain mountain help t co dw5nf0ibtr,0.0,0.0,Neutral
41,hey first time flyer next week excite hard time get flight add elevate account help,0.2916666666666667,-0.013888888888888895,Negative
42,ply help win bid upgrade flight 2 27 lax sea _________,0.4,0.8,Positive
43,unused ticket move new city fly fly expires travelhelp,0.7515151515151515,0.5787878787878787,Positive
44,flight leave dallas seattle time feb 24,0.0,0.0,Neutral
45,elevategold good reason rock,0.6000000000000001,0.7,Positive
46,dream help t co oa2drfaoq2 help t co lwwdac2khx,0.0,0.0,Neutral
47,wow blow mind,1.0,0.1,Positive
48,ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree,0.06666666666666667,0.0,Neutral
49,ladygaga carrieunderwood entertain,0.0,0.0,Neutral
50,flight 769 way suppose take 30 minute ago website still show time flight thanks,0.2,0.2,Positive
51,ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,1.0,1.0,Positive
52,wish fly atlanta soon,0.9,0.8,Positive
53,ladygaga carrieunderwood julie andrews hand,0.0,0.0,Neutral
54,flight leave dallas la february,0.0,0.0,Neutral
55,hi excite 99 lga dal deal i ve try 2 book since last week amp page never load,0.06666666666666667,0.0,Neutral
56,know need notify stat guiltypleasures,0.0,0.0,Neutral
57,ladygaga carrieunderwood lady gaga amazing,0.9,0.6000000000000001,Positive
58,ladygaga carrieunderwood carrie,0.0,0.0,Neutral
59,new marketing song hat t co f2lfulcbq7 let u know think,0.45454545454545453,0.13636363636363635,Positive
60,ladygaga carrieunderwood julie andrew first lady gaga wow i d last night carrie meh,0.4666666666666666,0.11666666666666665,Positive
61,call 3 4 week ago add 3 flight 2014 elevate still show help,0.0,0.0,Neutral
62,ladygaga carrieunderwood great go carrieunderwood ____,0.75,0.8,Positive
63,ladygaga carrieunderwood sorry mary martin first,0.6666666666666666,-0.125,Negative
64,ladygaga carrieunderwood love three really ca beat classic,0.32222222222222224,0.28888888888888886,Positive
65,flight 0736 dal dna 2 24 2 10pm tried check could status please,0.0,0.0,Neutral
66,heyday guyyyys try get hour someone call please,0.0,0.0,Neutral
67,hi virgin hold 40 50 minute earlier flight la ny tonight earlier 11 50pm,0.5,0.0,Neutral
68,congrats win travelzoo award best deal airline u help t co kj1iljaebv,0.35,0.9,Positive
69,everything fine lose bag,0.5,0.4166666666666667,Positive
70,need change reservation virgin credit card need modify phone waive change fee online,0.0,0.0,Neutral
71,email customer service team let know need track number,0.0,0.0,Neutral
72,hi book flight need add baggage,0.0,0.0,Neutral
73,airline awesome lax loft need step game 40 dirty table floor help t co hy0vrfhjht,0.7333333333333334,0.0,Neutral
74,worried great ride new plane great crew airline like,0.6515151515151515,0.5787878787878787,Positive
75,awesome fly yall sit morning way correct bill,0.95,0.9,Positive
76,watch best student film country 35 000 foot cmfat35000feet help t co kek5pdmgif,0.3,1.0,Positive
77,first time fly different rate policy medium bag thanks,0.5083333333333334,0.3125,Positive
78,go customer service anyway speak human asap thank,0.1,0.0,Neutral
79,happen doom,0.0,0.0,Neutral
80,ca supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,0.0,0.0,Neutral
81,i ve apply member inflight crew team im 100 interested flightattendant dreampath og,0.5,0.25,Positive
82,best whenever begrudgingly use airline delay late flight,0.44999999999999996,0.35,Positive
83,interest fly cancelled flight next four flight plan neverflyvirginforbusiness,0.45,0.4,Positive
84,disappointing experience share every business traveler meet neverflyvirgin,0.7,-0.6,Negative
85,trouble add flight wife book elevate account help help t co px8hqoks3r,0.2,-0.2,Negative
86,ca bring reservation online use flight book problem code,0.0,0.0,Neutral
87,random distribution elevate avatar bet kitty disproportionate share help t co aptzpurop4,0.5,-0.5,Negative
88,3 fly va life happen try change trip peri helluva home page let,0.9,0.8,Positive
89,site back,0.0,0.0,Neutral
90,rip yeah know,0.0,0.0,Neutral
91,hi get point elevate account recent flight add flight point account,0.25,0.0,Neutral
92,like interest video disappoint cancel lighted flight flight go jak saturday,0.0,0.0,Neutral
93,land lax hour late flight bag check business travel friendly nomorevirgin,0.55,0.037500000000000006,Positive
94,flight 345 redirect,0.0,0.0,Neutral
95,website bow new website great user experience time another redesign,0.6022727272727273,0.4681818181818182,Positive
96,ca check add bag website work i ve try desktop mobile help t co avyqdmpi1y,0.0,0.0,Neutral
97,let 2 scanned passenger leave plane tell someone remove bag est class bin uncomfortable,1.0,-0.5,Negative
98,phone number ca find call flight reservation,0.0,0.0,Neutral
99,anyone anything today website useless one answer phone,0.2,-0.5,Negative
100,try add boy prince jessie thursday virginamerica lax help t co gsb2j3c4gm,0.0,0.0,Neutral
101,must traveler miss flight late flight check bag miss morning appointment lose business sfo2lax,0.6,-0.3,Negative
102,check new music help t co marcnocwzn,0.45454545454545453,0.13636363636363635,Positive
103,direct flight unexpected layover vegas 4 fuel yet peep next bought vega flight sneaky,0.4666666666666666,0.06666666666666667,Positive
104,late flight bag check lose business miss flight apt three people flight exp,0.8,0.15,Positive
105,amaze customer service ____ paean best customerservice virginamerica fly,0.6,0.9,Positive
106,call service line hang awesome sarcasm,1.0,1.0,Positive
107,site trip try check get plain text version reluctant enter card info,0.35714285714285715,-0.21428571428571427,Negative
108,schedule 2 dal flight 714 today change due weather look like flight still,0.375,-0.125,Negative
109,getaway deal may 59 oneway lot cool city help t co tzzjhuibch cheapflights farecompare,0.65,0.35,Positive
110,getaway deal may 59 oneway lot cool city help t co rpdbpx3wnd cheapflights farecompare,0.65,0.35,Positive
111,getaway deal may 59 oneway lot cool city help t co b2xi4yg5t8 cheapflights farecompare,0.65,0.35,Positive
112,getaway deal may 59 oneway lot cool city help t co qdljhsloi5 cheapflights farecompare,0.65,0.35,Positive
113,great week ___,0.75,0.8,Positive
114,come back pal already need take u horrible cold pleasecomeback help t co glxfwp6nqh,0.6666666666666666,-0.5333333333333333,Negative
115,concerned fly plane need delay due tech stop,0.6375,0.3375,Positive
116,best airline fly uneasy change reservation helpful representative amp comfortable fly experience,0.725,0.75,Positive
117,another rep kick butt allah represent team beautifully thank,1.0,0.85,Positive
118,beautiful front design right cool still book ticket bac backend secure,0.6964285714285714,0.4714285714285714,Positive
119,love team run gate e la tonight wait delayed flight keep thing entertain,0.6,0.5,Positive
120,use another browser 2015 amp brand reputation build tech response cross browser compatible website,0.0,0.0,Neutral
121,flight flight book problem site totally folk problem,0.75,0.0,Neutral
122,like customer service 40 min delay connect passenger seem long va370,0.4,-0.05,Negative
123,thanks outstanding nyc jfk crew move mountain get home san francisco tonight,0.5375,0.35,Positive
124,absolute best team customer service ever every time fly delight thank,0.7000000000000001,0.6666666666666666,Positive
125,provide complimentary upgrade first class available seat,0.41111111111111115,0.3166666666666667,Positive
126,need change flight thats schedule 9 hour 120 min wait time phone im call intern help,0.0,0.0,Neutral
127,completely awesome experience last month bolas nonstop thanks awesome flight depart time vabeatsjblue,0.5666666666666667,0.55,Positive
128,watch oscars2015 joke flight,0.0,0.0,Neutral
129,flight 882 cancel light,0.7,0.4,Positive
130,fail customer check process link tsa recheck,0.29999999999999993,-0.5,Negative
131,fidifamilies u terrible airline give u hotel hotline number say sorry,1.0,-0.75,Negative
132,flight number 276 cabo san lucas arrive yet,0.0,0.0,Neutral
133,chrysichrysic assistance yesterday u cancel lighted flight give u hotel hotline shame,0.0,0.0,Neutral
134,another delayed flight likingyoulessandless,0.0,0.0,Neutral
135,need register service dog first class ticket dull phone queue hour longer plus advise,0.41666666666666663,-0.020833333333333343,Negative
136,rock make watch oscar flight redcapes oscar oscars2015,0.0,0.0,Neutral
137,reallytallchris drop track hate t co zv2pt6trk9,0.9,-0.8,Negative
138,always xoxo,0.0,0.0,Neutral
139,ca book seat flight buy even check creates much anxiety frustrate,0.2,0.2,Positive
140,i d think pay extra 100 buck luggage might afford hire extra hand lame,0.31666666666666665,-0.16666666666666666,Negative
141,best customer service rep world irmafromdallas take cake,0.3,1.0,Positive
142,find u felt lax sooner midnight monday would great customer service,0.75,0.8,Positive
143,please provide status flight 769 cant imagine time web indicate dude weather andlor dallas,0.0,0.0,Neutral
144,amazing staff amp super helpful run waltdisneyworld princesshalf spoil comfort,0.7833333333333333,0.4666666666666667,Positive
145,pay premium fly across country cancel flight flight offer check fee upgrade love sad face,0.8333333333333334,0.26666666666666666,Positive
146,question possible book seat infant 2 give option want seat,1.0,0.0,Neutral
147,together welcome virginamerica jessicajaymes welcome,0.9,0.8,Positive
148,flight home sunset globe backtowinter back work refresh help t co vx9vbctdlf,0.0,0.0,Neutral
149,understand need give answer damage luggage policy,0.0,0.0,Neutral
150,mean policy destroy luggage,0.34375,-0.25625,Negative
151,special assistance travel alone kid 1 infant priority boarding,0.5714285714285714,0.35714285714285715,Positive
152,thank check ticket purchase customer happy,1.0,0.8,Positive
153,website ever come back online u200b,0.0,0.0,Neutral
154,flight 713 love field definitely cancel light monday february 23,0.6,0.3,Positive
155,flight 0769 lga dew time,0.0,0.0,Neutral
156,driver license expired little month fly friday morning use expire license,0.7,0.30625,Positive
157,problem flight book problem web site keep give error contact phone phone 30 minute wait,0.0,0.0,Neutral
158,reschedule cancel lighted flight online change button greed,0.0,0.0,Neutral
159,rang wait 35 minute book ticket vendor fix site,0.0,0.0,Neutral
160,get flight tell 4 50 today check email 4 50 tomorrow unacceptable,0.0,0.0,Neutral
161,flight lga cancel lighted stuck dallas call reschedule told could get flight today 1 2,0.0,0.0,Neutral
162,pairing include red wine white offer redwineisbetter,0.0,0.0,Neutral
163,website,0.0,0.0,Neutral
164,site seem little worked right may want look tried two browser ass help t co 8qsqmm7kf2,0.5178571428571428,0.04910714285714285,Positive
165,disappointed agent designate silver status check line dulles_airport close assist passenger,0.75,-0.75,Negative
166,plan include austin dallas route tone arab emirates help t co aqzwecokk2,0.0,0.0,Neutral
167,normal receive reply central baggage baggageissues suh,0.44999999999999996,0.075,Positive
168,logan airport wait checkin flight checkin desk open,0.5,0.0,Neutral
169,jump dallas austin market dallas_news help t co ewwgi97gdx,0.0,0.0,Neutral
170,beat eps view take southwestair va luv investor business daily help t co flwmgdahxu,0.0,0.0,Neutral
171,lister show monday 1230 130,0.0,0.0,Neutral
172,begin dallas austin flight april 88 9 kerr help t co ssuvwwkyhh,0.0,0.0,Neutral
173,congrats get business ear sfo lax fuck united fl1289 sfo ewr clincher,0.6,-0.4,Negative
174,apply 2 week ago hear back fly week disappoint,0.45,0.4,Positive
175,i d love know policy damage luggage,0.6,0.5,Positive
176,thank follow,0.0,0.0,Neutral
177,many apology worse airline even respond customer,0.55,0.04999999999999999,Positive
178,shame va make people spend money strand city airline land jak reimburse,0.0,0.0,Neutral
179,ttinac11,0.0,0.0,Neutral
180,please flight sec choice fly southwest vega ____,0.75,0.35000000000000003,Positive
181,bad say take 10 14 day via confirmation email inquire 3 week claim 6 8 week,0.6666666666666666,-0.6999999999999998,Negative
182,flight bos las tomorrow cancel light notification wait time hour rebook another airline,0.7,0.4,Positive
183,virginamerica meet match get status another airline upgrade rest help t co rhkamx9vf5 help t co pyalebgkjt,0.0,0.0,Neutral
184,way fly elevate gold,0.9,0.8,Positive
185,guy flight cme,0.0,0.0,Neutral
186,lot apology thrown customer see very sad thanks nothing worst airline ever,0.7333333333333334,-0.48333333333333334,Negative
187,flight stuff wrong nothing worst flight ever,0.95,-0.75,Negative
188,issue find miss item plane help find airport plane head next,0.0,0.0,Neutral
189,match americanairlines status cool,0.65,0.35,Positive
190,meet match get status another airline upgrade help t co h952rdktqy_ asarco_es_ar,0.0,0.0,Neutral
191,try book flight guy website wo let lose business,0.0,0.0,Neutral
192,suck,0.0,0.0,Neutral
193,thanks,0.2,0.2,Positive
194,i d issue persisting,0.0,0.0,Neutral
195,never rec i d cancel flightlation notice leave option fly drive la red eye mon kid,0.45,0.4,Positive
196,try book flight amp site,0.0,0.0,Neutral
197,flight fly boston tomorrow need home cancel lighted flight anything,0.9,0.8,Positive
198,stink flight cancel light pop jak notification ability rebook disappoint expect well,0.7,0.4,Positive
199,love guy song dance high school dance revue,0.57,0.33,Positive
200,website try check,0.0,0.0,Neutral
201,do thank quick response apparently faster sit hold,0.425,0.19166666666666665,Positive
202,nervous flight lax get cancel lighted tomorrow send help,0.0,0.0,Neutral
203,cool picture another virginamerica plane wing site help t co 5b2agfd8c4,0.65,0.35,Positive
204,keep great work,0.75,0.8,Positive
205,goodness people love field amazing pressure ___from texas beatstheothers crisis please fly ny,0.7999999999999999,0.6333333333333334,Positive
206,thanks great flight la boston pilot great job landing snow go back la seriously,0.47333333333333333,0.29333333333333333,Positive
207,please get new york area monday afternoon,0.45454545454545453,0.13636363636363635,Positive
208,thanks much awesome support guy rock,0.6,0.6,Positive
209,seat row 8 recline mention website comeback,0.0,0.0,Neutral
210,flight 404 delay 2 hour la due mechanical problem handle like pro could toss u free drink,0.5875,0.1375,Positive
211,cancelled flight flight today precipitation scar _________,0.0,0.0,Neutral
212,twitter team guy kill reschedule asap thank u200b,0.0,0.0,Neutral
213,guy charge 100 reschedule flight cancel lighted refuse refund deal,0.0,0.0,Neutral
214,access website safari iphone 6 seem work mac ipad need iphone add passbook,0.0,0.0,Neutral
215,ipad iphone click checkin link email receive 24hrs flight,0.0,0.0,Neutral
216,mobile site broken show header elevateuser numofpointsavailable number point wo let checkin,0.4,-0.4,Negative
217,really look forward flight let know reschedule diehardvirgin,0.2,0.2,Positive
218,cancelled flight flight vx413 one sec delay airport next cancel lighted gon na email call reschedule,0.3,-0.05,Negative
219,problem link email checkin thanks,0.2,0.2,Positive
220,change another airline get today unite able land cost 800 ugh,0.625,0.5,Positive
221,look forward first flight today cancel light along subsequent one,0.3611111111111111,0.21666666666666667,Positive
222,put great deal pox la la pox show love help t co eniqg0buzj,0.675,0.65,Positive
223,wish afford fly next friday go back home love everything airline,0.375,0.325,Positive
224,gon na deal dallas deal dallas sad,1.0,-0.5,Negative
225,bug report guy,0.0,0.0,Neutral
226,hold time call center bit much,0.15000000000000002,0.05,Positive
227,like help t co vpqem31xuq,0.0,0.0,Neutral
228,site help,0.0,0.0,Neutral
